,Response
0,"In 2018, Afghanistan's Economic Complexity Index (ECI) ranked 121.0, with an ECI value of -0.9670724. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
1,"In 2018, Angola's Economic Complexity Index (ECI) ranked 126.0, with an ECI value of -1.489322. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
2,"In 2018, Albania's Economic Complexity Index (ECI) ranked 80.0, with an ECI value of -0.4941715. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
3,"In 2018, United Arab Emirates's Economic Complexity Index (ECI) ranked 50.0, with an ECI value of 0.2128238. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
4,"In 2018, Argentina's Economic Complexity Index (ECI) ranked 56.0, with an ECI value of 0.098734. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
5,"In 2018, Armenia's Economic Complexity Index (ECI) ranked 77.0, with an ECI value of -0.3126364. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
6,"In 2018, Australia's Economic Complexity Index (ECI) ranked 70.0, with an ECI value of -0.1775933. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
7,"In 2018, Austria's Economic Complexity Index (ECI) ranked 10.0, with an ECI value of 1.544514. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
8,"In 2018, Azerbaijan's Economic Complexity Index (ECI) ranked 95.0, with an ECI value of -0.6852852. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
9,"In 2018, Belgium's Economic Complexity Index (ECI) ranked 17.0, with an ECI value of 1.342877. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
10,"In 2018, Benin's Economic Complexity Index (ECI) ranked 91.0, with an ECI value of -0.650251. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
11,"In 2018, Burkina Faso's Economic Complexity Index (ECI) ranked 124.0, with an ECI value of -1.477913. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
12,"In 2018, Bangladesh's Economic Complexity Index (ECI) ranked 117.0, with an ECI value of -1.261385. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
13,"In 2018, Bulgaria's Economic Complexity Index (ECI) ranked 45.0, with an ECI value of 0.472478. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
14,"In 2018, Bahrain's Economic Complexity Index (ECI) ranked 51.0, with an ECI value of 0.3819326. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
15,"In 2018, Bosnia and Herzegovina's Economic Complexity Index (ECI) ranked 38.0, with an ECI value of 0.5515413. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
16,"In 2018, Belarus's Economic Complexity Index (ECI) ranked 34.0, with an ECI value of 0.7859651. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
17,"In 2018, Bolivia's Economic Complexity Index (ECI) ranked 99.0, with an ECI value of -0.7622498. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
18,"In 2018, Brazil's Economic Complexity Index (ECI) ranked 44.0, with an ECI value of 0.4763357. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
19,"In 2018, Botswana's Economic Complexity Index (ECI) ranked 83.0, with an ECI value of -0.5614024. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
20,"In 2018, Canada's Economic Complexity Index (ECI) ranked 27.0, with an ECI value of 0.928519. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
21,"In 2018, Switzerland's Economic Complexity Index (ECI) ranked 2.0, with an ECI value of 2.061135. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
22,"In 2018, Chile's Economic Complexity Index (ECI) ranked 71.0, with an ECI value of -0.2013864. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
23,"In 2018, China's Economic Complexity Index (ECI) ranked 30.0, with an ECI value of 0.9219182. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
24,"In 2018, Cote d'Ivoire's Economic Complexity Index (ECI) ranked 108.0, with an ECI value of -1.007044. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
25,"In 2018, Cameroon's Economic Complexity Index (ECI) ranked 114.0, with an ECI value of -1.15397. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
26,"In 2018, Congo, Dem. Rep.'s Economic Complexity Index (ECI) ranked 123.0, with an ECI value of -1.396884. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
