SQL Query,Prompt,Response
"
        SELECT f.IndicatorValue, f.Value
        FROM FactWorldBankData f
        INNER JOIN DimCountry rc ON f.CountryID = rc.CountryID
        WHERE 
            f.DateKey = 20211231
            AND rc.Country = 'Burundi'  -- Handle single quote in country name
            AND f.IndicatorValue IN ('GDP (current US$)', 'GDP per capita (current US$)', 'Population, total', 'Land area (sq. km)', 'Official exchange rate (LCU per US$, period average)');
    ","I'm interested in gaining insights into Canada's economic and demographic indicators for the year {date_key}. Specifically, I'd like information on GDP (in current US$), GDP per capita (in current US$), total population, land area (in square kilometers), and the official exchange rate (LCU per US$, period average). Can you provide the values for these indicators?","In the year 20211231, the following economic and demographic indicators for Burundi are available:
GDP (current US$): 2779813489.02447 US$
GDP per capita (current US$): 221.477676223363 US$
Total Population: 12551213.0
Land Area (sq. km): 25680.0 sq. km
Official Exchange Rate (LCU per US$, period average): 1975.95088138768

These economic and geographic indicators provide a snapshot of a country's vital statistics. The GDP in current US dollars measures the overall economic output, while GDP per capita offers insight into the average economic well-being per person. Total population reflects the demographic scale, land area denotes geographic expanse, and the official exchange rate illustrates the value of the country's currency in relation to the US dollar. Together, these indicators convey essential information about a nation's economic health, population size, and international economic interactions."
"
        SELECT f.IndicatorValue, f.Value
        FROM FactWorldBankData f
        INNER JOIN DimCountry rc ON f.CountryID = rc.CountryID
        WHERE 
            f.DateKey = 20211231
            AND rc.Country = 'Gabon'  -- Handle single quote in country name
            AND f.IndicatorValue IN ('GDP (current US$)', 'GDP per capita (current US$)', 'Population, total', 'Land area (sq. km)', 'Official exchange rate (LCU per US$, period average)');
    ","I'm interested in gaining insights into Canada's economic and demographic indicators for the year {date_key}. Specifically, I'd like information on GDP (in current US$), GDP per capita (in current US$), total population, land area (in square kilometers), and the official exchange rate (LCU per US$, period average). Can you provide the values for these indicators?","In the year 20211231, the following economic and demographic indicators for Gabon are available:
GDP (current US$): 20216843173.9702 US$
GDP per capita (current US$): 8635.32569443437 US$
Total Population: 2341179.0
Land Area (sq. km): 257670.0 sq. km
Official Exchange Rate (LCU per US$, period average): 554.530675033104

These economic and geographic indicators provide a snapshot of a country's vital statistics. The GDP in current US dollars measures the overall economic output, while GDP per capita offers insight into the average economic well-being per person. Total population reflects the demographic scale, land area denotes geographic expanse, and the official exchange rate illustrates the value of the country's currency in relation to the US dollar. Together, these indicators convey essential information about a nation's economic health, population size, and international economic interactions."
"
        SELECT f.IndicatorValue, f.Value
        FROM FactWorldBankData f
        INNER JOIN DimCountry rc ON f.CountryID = rc.CountryID
        WHERE 
            f.DateKey = 20211231
            AND rc.Country = 'Gambia, The'  -- Handle single quote in country name
            AND f.IndicatorValue IN ('GDP (current US$)', 'GDP per capita (current US$)', 'Population, total', 'Land area (sq. km)', 'Official exchange rate (LCU per US$, period average)');
    ","I'm interested in gaining insights into Canada's economic and demographic indicators for the year {date_key}. Specifically, I'd like information on GDP (in current US$), GDP per capita (in current US$), total population, land area (in square kilometers), and the official exchange rate (LCU per US$, period average). Can you provide the values for these indicators?","In the year 20211231, the following economic and demographic indicators for Gambia, The are available:
GDP (current US$): 2038417462.37695 US$
GDP per capita (current US$): 772.152395143237 US$
Total Population: 2639916.0
Land Area (sq. km): 10120.0 sq. km
Official Exchange Rate (LCU per US$, period average): 51.4844438783833

These economic and geographic indicators provide a snapshot of a country's vital statistics. The GDP in current US dollars measures the overall economic output, while GDP per capita offers insight into the average economic well-being per person. Total population reflects the demographic scale, land area denotes geographic expanse, and the official exchange rate illustrates the value of the country's currency in relation to the US dollar. Together, these indicators convey essential information about a nation's economic health, population size, and international economic interactions."
"
        SELECT f.IndicatorValue, f.Value
        FROM FactWorldBankData f
        INNER JOIN DimCountry rc ON f.CountryID = rc.CountryID
        WHERE 
            f.DateKey = 20191231
            AND rc.Country = 'Ukraine'  -- Handle single quote in country name
            AND f.IndicatorValue IN ('GDP (current US$)', 'GDP per capita (current US$)', 'Population, total', 'Land area (sq. km)', 'Official exchange rate (LCU per US$, period average)');
    ","I'm interested in gaining insights into Canada's economic and demographic indicators for the year {date_key}. Specifically, I'd like information on GDP (in current US$), GDP per capita (in current US$), total population, land area (in square kilometers), and the official exchange rate (LCU per US$, period average). Can you provide the values for these indicators?","In the year 20191231, the following economic and demographic indicators for Ukraine are available:
GDP (current US$): 153882982016.281 US$
GDP per capita (current US$): 3661.45629882813 US$
Total Population: 44386203.0
Land Area (sq. km): 579400.0 sq. km
Official Exchange Rate (LCU per US$, period average): 25.8455893333333

These economic and geographic indicators provide a snapshot of a country's vital statistics. The GDP in current US dollars measures the overall economic output, while GDP per capita offers insight into the average economic well-being per person. Total population reflects the demographic scale, land area denotes geographic expanse, and the official exchange rate illustrates the value of the country's currency in relation to the US dollar. Together, these indicators convey essential information about a nation's economic health, population size, and international economic interactions."
"
        SELECT f.IndicatorValue, f.Value
        FROM FactWorldBankData f
        INNER JOIN DimCountry rc ON f.CountryID = rc.CountryID
        WHERE 
            f.DateKey = 20201231
            AND rc.Country = 'Haiti'  -- Handle single quote in country name
            AND f.IndicatorValue IN ('GDP (current US$)', 'GDP per capita (current US$)', 'Population, total', 'Land area (sq. km)', 'Official exchange rate (LCU per US$, period average)');
    ","I'm interested in gaining insights into Canada's economic and demographic indicators for the year {date_key}. Specifically, I'd like information on GDP (in current US$), GDP per capita (in current US$), total population, land area (in square kilometers), and the official exchange rate (LCU per US$, period average). Can you provide the values for these indicators?","In the year 20201231, the following economic and demographic indicators for Haiti are available:
GDP (current US$): 14508218017.4032 US$
GDP per capita (current US$): 1283.14082978936 US$
Total Population: 11306801.0
Land Area (sq. km): 27560.0 sq. km
Official Exchange Rate (LCU per US$, period average): 93.5098072136213These economic and geographic indicators provide a snapshot of a country's vital statistics. The GDP in current US dollars measures the overall economic output, while GDP per capita offers insight into the average economic well-being per person. Total population reflects the demographic scale, land area denotes geographic expanse, and the official exchange rate illustrates the value of the country's currency in relation to the US dollar. Together, these indicators convey essential information about a nation's economic health, population size, and international economic interactions."
"
        SELECT f.IndicatorValue, f.Value
        FROM FactWorldBankData f
        INNER JOIN DimCountry rc ON f.CountryID = rc.CountryID
        WHERE 
            f.DateKey = 20201231
            AND rc.Country = 'Vanuatu'  -- Handle single quote in country name
            AND f.IndicatorValue IN ('GDP (current US$)', 'GDP per capita (current US$)', 'Population, total', 'Land area (sq. km)', 'Official exchange rate (LCU per US$, period average)');
    ","I'm interested in gaining insights into Canada's economic and demographic indicators for the year {date_key}. Specifically, I'd like information on GDP (in current US$), GDP per capita (in current US$), total population, land area (in square kilometers), and the official exchange rate (LCU per US$, period average). Can you provide the values for these indicators?","In the year 20201231, the following economic and demographic indicators for Vanuatu are available:
GDP (current US$): 896879875.195008 US$
GDP per capita (current US$): 2877.52017323582 US$
Total Population: 311685.0
Land Area (sq. km): 12190.0 sq. km
Official Exchange Rate (LCU per US$, period average): 115.38

These economic and geographic indicators provide a snapshot of a country's vital statistics. The GDP in current US dollars measures the overall economic output, while GDP per capita offers insight into the average economic well-being per person. Total population reflects the demographic scale, land area denotes geographic expanse, and the official exchange rate illustrates the value of the country's currency in relation to the US dollar. Together, these indicators convey essential information about a nation's economic health, population size, and international economic interactions."
"
        SELECT f.IndicatorValue, f.Value
        FROM FactWorldBankData f
        INNER JOIN DimCountry rc ON f.CountryID = rc.CountryID
        WHERE 
            f.DateKey = 20211231
            AND rc.Country = 'Ghana'  -- Handle single quote in country name
            AND f.IndicatorValue IN ('GDP (current US$)', 'GDP per capita (current US$)', 'Population, total', 'Land area (sq. km)', 'Official exchange rate (LCU per US$, period average)');
    ","I'm interested in gaining insights into Canada's economic and demographic indicators for the year {date_key}. Specifically, I'd like information on GDP (in current US$), GDP per capita (in current US$), total population, land area (in square kilometers), and the official exchange rate (LCU per US$, period average). Can you provide the values for these indicators?","In the year 20211231, the following economic and demographic indicators for Ghana are available:
GDP (current US$): 77594279054.8795 US$
GDP per capita (current US$): 2363.29929621422 US$
Total Population: 32833031.0
Land Area (sq. km): 227540.0 sq. km
Official Exchange Rate (LCU per US$, period average): 5.8057

These economic and geographic indicators provide a snapshot of a country's vital statistics. The GDP in current US dollars measures the overall economic output, while GDP per capita offers insight into the average economic well-being per person. Total population reflects the demographic scale, land area denotes geographic expanse, and the official exchange rate illustrates the value of the country's currency in relation to the US dollar. Together, these indicators convey essential information about a nation's economic health, population size, and international economic interactions."
"
        SELECT f.IndicatorValue, f.Value
        FROM FactWorldBankData f
        INNER JOIN DimCountry rc ON f.CountryID = rc.CountryID
        WHERE 
            f.DateKey = 20211231
            AND rc.Country = 'British Virgin Islands'  -- Handle single quote in country name
            AND f.IndicatorValue IN ('GDP (current US$)', 'GDP per capita (current US$)', 'Population, total', 'Land area (sq. km)', 'Official exchange rate (LCU per US$, period average)');
    ","I'm interested in gaining insights into Canada's economic and demographic indicators for the year {date_key}. Specifically, I'd like information on GDP (in current US$), GDP per capita (in current US$), total population, land area (in square kilometers), and the official exchange rate (LCU per US$, period average). Can you provide the values for these indicators?","In the year 20211231, the following economic and demographic indicators for British Virgin Islands are available:
GDP (current US$): 0.0 US$
GDP per capita (current US$): 0.0 US$
Total Population: 31122.0
Land Area (sq. km): 150.0 sq. km
Official Exchange Rate (LCU per US$, period average): 0.0

These economic and geographic indicators provide a snapshot of a country's vital statistics. The GDP in current US dollars measures the overall economic output, while GDP per capita offers insight into the average economic well-being per person. Total population reflects the demographic scale, land area denotes geographic expanse, and the official exchange rate illustrates the value of the country's currency in relation to the US dollar. Together, these indicators convey essential information about a nation's economic health, population size, and international economic interactions."
"
        SELECT f.IndicatorValue, f.Value
        FROM FactWorldBankData f
        INNER JOIN DimCountry rc ON f.CountryID = rc.CountryID
        WHERE 
            f.DateKey = 20211231
            AND rc.Country = 'Turks and Caicos Islands'  -- Handle single quote in country name
            AND f.IndicatorValue IN ('GDP (current US$)', 'GDP per capita (current US$)', 'Population, total', 'Land area (sq. km)', 'Official exchange rate (LCU per US$, period average)');
    ","I'm interested in gaining insights into Canada's economic and demographic indicators for the year {date_key}. Specifically, I'd like information on GDP (in current US$), GDP per capita (in current US$), total population, land area (in square kilometers), and the official exchange rate (LCU per US$, period average). Can you provide the values for these indicators?","In the year 20211231, the following economic and demographic indicators for Turks and Caicos Islands are available:
GDP (current US$): 943269800.0 US$
GDP per capita (current US$): 20908.5827016004 US$
Total Population: 45114.0
Land Area (sq. km): 950.0 sq. km
Official Exchange Rate (LCU per US$, period average): 1.0

These economic and geographic indicators provide a snapshot of a country's vital statistics. The GDP in current US dollars measures the overall economic output, while GDP per capita offers insight into the average economic well-being per person. Total population reflects the demographic scale, land area denotes geographic expanse, and the official exchange rate illustrates the value of the country's currency in relation to the US dollar. Together, these indicators convey essential information about a nation's economic health, population size, and international economic interactions."
"
        SELECT f.IndicatorValue, f.Value
        FROM FactWorldBankData f
        INNER JOIN DimCountry rc ON f.CountryID = rc.CountryID
        WHERE 
            f.DateKey = 20211231
            AND rc.Country = 'Azerbaijan'  -- Handle single quote in country name
            AND f.IndicatorValue IN ('GDP (current US$)', 'GDP per capita (current US$)', 'Population, total', 'Land area (sq. km)', 'Official exchange rate (LCU per US$, period average)');
    ","I'm interested in gaining insights into Canada's economic and demographic indicators for the year {date_key}. Specifically, I'd like information on GDP (in current US$), GDP per capita (in current US$), total population, land area (in square kilometers), and the official exchange rate (LCU per US$, period average). Can you provide the values for these indicators?","In the year 20211231, the following economic and demographic indicators for Azerbaijan are available:
GDP (current US$): 54622176470.5882 US$
GDP per capita (current US$): 5387.99797495383 US$
Total Population: 10137750.0
Land Area (sq. km): 82654.0 sq. km
Official Exchange Rate (LCU per US$, period average): 1.7

These economic and geographic indicators provide a snapshot of a country's vital statistics. The GDP in current US dollars measures the overall economic output, while GDP per capita offers insight into the average economic well-being per person. Total population reflects the demographic scale, land area denotes geographic expanse, and the official exchange rate illustrates the value of the country's currency in relation to the US dollar. Together, these indicators convey essential information about a nation's economic health, population size, and international economic interactions."
